Electron + Photon:

Event: 42628832, Run = 277166, Lumi = 93, met = 129.94, phoEt = 109.063, HT = 229.882
Event: 664452057, Run = 276870, Lumi = 419, met = 130.189, phoEt = 322.297, HT = 42.7838
Event: 657798132, Run = 277094, Lumi = 372, met = 154.652, phoEt = 36.8455, HT = 352.066
Event: 297772387, Run = 277094, Lumi = 171, met = 121.213, phoEt = 70.2063, HT = 98.0808
Event: 3188903014, Run = 276950, Lumi = 1789, met = 269.526, phoEt = 93.6242, HT = 246.566
Event: 847919649, Run = 277076, Lumi = 502, met = 126.56, phoEt = 71.3082, HT = 58.4866
Event: 5446789574, Run = 276870, Lumi = 3103, met = 174.963, phoEt = 97.2191, HT = 95.9685
Event: 868350774, Run = 277096, Lumi = 490, met = 120.825, phoEt = 85.7904, HT = 239.793
Event: 4580474610, Run = 276870, Lumi = 2542, met = 125.999, phoEt = 72.0842, HT = 76.78
Event: 601636625, Run = 277076, Lumi = 352, met = 147.066, phoEt = 46.4091, HT = 250.566
Event: 5710489402, Run = 276870, Lumi = 3289, met = 202.103, phoEt = 58.1, HT = 331.354
Event: 254538813, Run = 277420, Lumi = 208, met = 210.501, phoEt = 74.3046, HT = 0
Event: 389640741, Run = 277420, Lumi = 278, met = 127.788, phoEt = 37.6669, HT = 0
Event: 83823811, Run = 276935, Lumi = 112, met = 137.003, phoEt = 92.9377, HT = 465.784
Event: 55379758, Run = 276950, Lumi = 44, met = 142.545, phoEt = 68.1469, HT = 334.125
Event: 2091016298, Run = 277096, Lumi = 1193, met = 135.366, phoEt = 123.812, HT = 0
Event: 37839215, Run = 276948, Lumi = 19, met = 180.955, phoEt = 370.237, HT = 478.514
Event: 212924357, Run = 276948, Lumi = 106, met = 140.986, phoEt = 52.6155, HT = 107.589
Event: 3831342, Run = 277168, Lumi = 4, met = 181.524, phoEt = 43.9882, HT = 171.383
Event: 271583467, Run = 277069, Lumi = 206, met = 219.297, phoEt = 74.892, HT = 526.473
Event: 3799733504, Run = 276950, Lumi = 2210, met = 122.234, phoEt = 255.663, HT = 0
Event: 161977949, Run = 277305, Lumi = 151, met = 122.733, phoEt = 59.6342, HT = 345.899
Event: 913541622, Run = 277070, Lumi = 487, met = 138.815, phoEt = 65.7698, HT = 158.862
Event: 195756291, Run = 277069, Lumi = 168, met = 138.803, phoEt = 87.1768, HT = 0
Event: 334160001, Run = 277069, Lumi = 239, met = 171.521, phoEt = 171.021, HT = 0
Event: 875189362, Run = 277094, Lumi = 493, met = 146.591, phoEt = 78.1332, HT = 107.005
Event: 2485247522, Run = 277096, Lumi = 1431, met = 296.243, phoEt = 43.4904, HT = 124.347
Event: 1255780048, Run = 277070, Lumi = 671, met = 176.232, phoEt = 108.863, HT = 0
